id_person,person_name,sex,birthdate,passport,drive_license
286,Всемил Егорович Трофимов,муж,1976-02-26,9006805638,32011100018
287,Илья Александрович Артемьев,муж,2018-06-24,NULL,NULL
288,Фёкла Ждановна Бирюкова,жен,2010-12-04,NULL,NULL
289,Елена Егоровна Селиверстова,жен,1995-12-10,95914966109,69834027100
290,Исаков Христофор Эдгардович,муж,2006-03-05,NULL,NULL
291,Полина Михайловна Прохорова,жен,2017-09-02,NULL,NULL
292,Кондратьев Тимур Алексеевич,муж,2014-12-13,NULL,NULL
293,Тарасова Ульяна Анатольевна,жен,2018-06-06,NULL,NULL
294,тов. Морозов Мартьян Устинович,муж,1977-01-15,17151241310,52310119014
295,Журавлев Милий Вячеславович,муж,2006-01-21,NULL,NULL
296,Ефремова Фёкла Матвеевна,жен,1974-09-30,13136231006,0650506637
297,Матвей Артёмович Сергеев,муж,2002-06-18,7903954929,NULL
298,Юрий Власович Молчанов,муж,1982-11-02,6917819055,35510842531
299,Эдуард Харитонович Алексеев,муж,1973-12-19,26858010610,6443607444
300,Варвара Святославовна Осипова,жен,1985-11-18,02946107691,561994101033
301,Яков Ефремович Ларионов,муж,2016-02-07,NULL,NULL
302,Крылов Андрей Егорович,муж,2017-03-21,NULL,NULL
303,Терентьев Аполлинарий Антипович,муж,1983-09-21,7620568456,71096596058
304,Суворов Демьян Федосьевич,муж,1970-08-25,102917100006,2054507137
305,Сократ Артемьевич Ефимов,муж,1983-10-21,4307082104,05107770745
306,Васильев Азарий Теймуразович,муж,2019-07-21,NULL,NULL
307,Евсеев Гаврила Иларионович,муж,1990-02-23,08910622151,851010701375
308,Дмитрий Гаврилович Быков,муж,2003-04-09,3239223167,NULL
309,Любосмысл Давидович Бобров,муж,1982-06-11,5226265565,5909126875
310,Олимпиада Дмитриевна Носова,жен,2008-10-15,NULL,NULL
311,Карп Виленович Ситников,муж,2014-08-01,NULL,NULL
312,Тамара Тимофеевна Петухова,жен,1989-11-25,1026110610923,6548884030
313,Галина Игоревна Комиссарова,жен,1973-03-23,663807510105,9850037898
314,Ипатий Харламович Васильев,муж,2017-03-12,NULL,NULL
315,Бирюкова Антонина Валериевна,жен,2008-08-29,NULL,NULL
316,Ларионов Любомир Фролович,муж,1971-02-14,1334969382,3261968475
317,Евфросиния Мироновна Дьячкова,жен,1972-11-28,10810798108107,614941085910
318,Вениамин Арсенович Белозеров,муж,1971-12-28,4162288014,71022384144
319,Корнилова Антонина Кирилловна,жен,2016-07-05,NULL,NULL
320,Фадеев Никандр Бориславович,муж,1976-03-03,85521091818,182010105444
321,Агафонов Олимпий Анисимович,муж,2015-10-18,NULL,NULL
322,Маслов Елизар Ефремович,муж,1999-07-09,7370396501,24103184520
323,Таисия Яковлевна Фролова,жен,2010-05-18,NULL,NULL
324,Рябова Ираида Даниловна,жен,1998-07-22,5187610210110,34721060671
325,Горшкова Татьяна Дмитриевна,жен,1974-02-23,51066340373,10721257619
326,Измаил Валерианович Чернов,муж,1986-03-12,2134749124,410472919410
327,Зинаида Никифоровна Волкова,жен,1971-04-05,910041054696,4592259800
328,Наина Архиповна Кузнецова,жен,2015-04-11,NULL,NULL
329,Оксана Альбертовна Власова,жен,1985-09-20,3152591513,06110546086
330,Парамон Исидорович Шестаков,муж,1999-03-30,911022221055,5400568618
331,Беспалов Ираклий Бориславович,муж,1995-11-29,81088317286,0125442253
332,Сорокина Агата Ефимовна,жен,1970-11-20,5182604275,4391824725
333,Архипов Вадим Трифонович,муж,1995-10-16,8036128588,100046856510
334,Зоя Тимуровна Меркушева,жен,1974-10-15,7537359204,2575251953
335,Зуев Ипатий Игнатович,муж,1996-09-03,44048510689,1638440184
336,Пимен Матвеевич Сафонов,муж,2006-12-05,NULL,NULL
337,Прохоров Аристарх Гертрудович,муж,1994-03-18,1518878333,3644434500
338,Ульяна Евгеньевна Исаева,жен,2016-09-13,NULL,NULL
339,Натан Данилович Фадеев,муж,1980-12-19,644610041105,08610073466
340,Зиновьев Вячеслав Егорович,муж,2005-06-14,3101000103315,NULL
341,Анна Евгеньевна Веселова,жен,1994-05-28,8228319315,1310108211054
342,Брагина Ульяна Николаевна,жен,1991-09-17,086331087210,1973183058
343,Евдокимова Зинаида Олеговна,жен,2018-04-18,NULL,NULL
344,Иванна Тарасовна Котова,жен,1973-10-17,9759860167,5038326349
345,Фёкла Леонидовна Михеева,жен,2012-03-25,NULL,NULL
346,Амос Харламович Большаков,муж,2004-08-19,0853590553,NULL
347,Радислав Иларионович Буров,муж,1994-09-18,128472610010,761010095768
348,Карл Григорьевич Симонов,муж,1981-06-14,26107829987,21191059074
349,Михайлов Сила Изотович,муж,2005-08-13,33335610210,NULL
350,Макарова Людмила Юрьевна,жен,1971-09-08,40351011450,73105522628
351,Шилов Данила Филатович,муж,1976-01-11,7981612384,7747247725
352,Виктория Юрьевна Тетерина,жен,2011-06-07,NULL,NULL
353,Лука Трофимович Герасимов,муж,2019-07-06,NULL,NULL
354,Фомичев Аполлинарий Августович,муж,2019-05-05,NULL,NULL
355,тов. Сидоров Захар Филатович,муж,1997-05-31,8318188423,310135101119
356,Ермил Еремеевич Нестеров,муж,2019-02-09,NULL,NULL
357,Субботин Валерьян Елисеевич,муж,2007-01-22,NULL,NULL
358,Денисов Кир Викентьевич,муж,1998-02-25,511068104978,33306610610
359,Трифон Давыдович Тимофеев,муж,2000-12-30,510297010965,91086494816
360,Нинель Альбертовна Авдеева,жен,2002-11-26,60110368649,NULL
361,Емельянова Светлана Львовна,жен,1984-12-14,97732109918,22665104490
362,Александра Алексеевна Галкина,жен,2020-07-06,NULL,NULL
363,Егорова Евдокия Владиславовна,жен,1972-04-30,5083179226,201037289710
364,Фомичева Лариса Георгиевна,жен,2003-11-15,40641181002,NULL
365,Шарапов Никита Яковлевич,муж,1979-08-14,8795679316,427307761010
366,Светлана Семеновна Орехова,жен,1991-03-10,5670107105610,288115510610
367,Зосима Даниилович Уваров,муж,1999-05-12,4108542368,9530832267
368,Пантелеймон Еремеевич Агафонов,муж,1982-04-17,10295083869,590694101020
369,Боброва Лариса Ефимовна,жен,1971-02-05,84396108272,68410902641
370,Григорий Данилович Жуков,муж,1975-08-18,2813846794,054102761055
371,Гришина Алла Вениаминовна,жен,2010-04-24,NULL,NULL
372,Нестерова Вероника Геннадьевна,жен,2001-04-26,61031290080,105195010826
373,Носков Любим Егорович,муж,1982-02-08,63052410496,4781969129
374,Гордей Трофимович Матвеев,муж,2010-04-10,NULL,NULL
375,Гуляева Зоя Эдуардовна,жен,2000-07-07,710617502310,892107864108
376,Рожкова Жанна Феликсовна,жен,1972-05-19,504109995610,28841054793
377,Гришина Феврония Феликсовна,жен,1982-02-24,8882077588,210041995610
378,Виктор Валерьевич Рябов,муж,1977-12-04,6960683503,51458631069
379,Ситников Святополк Иосипович,муж,1977-06-13,47678753102,106410627506
380,Юлиан Иосипович Русаков,муж,2008-10-15,NULL,NULL
381,Суворова Ангелина Геннадьевна,жен,1994-02-11,22106081003,361002412110
